,Ticker,Cluster,AUM,YTDReturn,Volume,Price,DayChange
13,XLK,0,122132.0,32.01,8339359.0,189.6,0.82
9,VGT,0,149100.0,29.98,4000423.0,122.31,0.68
19,QQQM,0,105000.0,17.69,3057609.0,296.91,0.58
6,VTV,1,191478.0,17.06,2717142.0,221.25,-0.24
8,BND,1,163126.0,-1.27,8168435.0,71.2,-0.38
10,AGG,1,137816.0,-1.32,8538175.0,95.96,-0.38
5,VUG,1,231087.0,9.29,6527021.0,88.75,0.36
7,SPYM,1,171914.0,12.63,11639747.0,89.64,0.1
14,SCHD,1,113491.0,24.79,22195952.0,33.68,-0.62
12,IJH,1,124031.0,11.45,6140354.0,72.98,-0.31
15,SGOV,1,110832.0,2.61,20260566.0,100.59,0.03
20,RSP,1,97970.2,11.73,7692914.0,212.29,-0.48
18,IJR,1,107131.0,16.53,3252770.0,138.9,-0.43
17,VO,1,108195.0,10.71,2810116.0,80.0,-0.19
16,VIG,1,110776.0,8.72,1037228.0,237.0,-0.05
11,IWF,1,124981.0,4.37,4359672.0,123.25,0.59
24,VB,1,78972.7,13.03,490712.0,289.61,-0.45
21,ITOT,1,95970.0,12.72,1575347.0,166.34,0.08
22,IWD,1,82460.9,20.94,1995080.0,251.7,-0.44
23,VYM,1,81506.1,12.93,1229930.0,159.26,-0.83
4,QQQ,2,481058.0,17.72,37398468.0,721.45,0.63
2,SPY,2,785689.0,12.29,46376768.0,761.69,-0.12
1,IVV,2,845149.0,12.6,6831648.0,764.92,0.11
0,VOO,2,1074160.0,12.58,7470195.0,701.78,0.11
3,VTI,2,691516.0,12.65,3085509.0,375.43,0.02
