0,1,2,3,4,5,6,7,8
VOO,Vanguard S&P 500 ETF,Equity,North America,"$1,074,160.00",12.58%,"7,470,195",$701.78,0.11%
IVV,iShares Core S&P 500 ETF,Equity,North America,"$845,149.00",12.60%,"6,831,648",$764.92,0.11%
SPY,State Street SPDR S&P 500 ETF,Equity,North America,"$785,689.00",12.29%,"46,376,768",$761.69,-0.12%
VTI,Vanguard Morningstar Total Stock Market ETF,Equity,North America,"$691,516.00",12.65%,"3,085,509",$375.43,0.02%
QQQ,Invesco QQQ Trust Series I,Equity,North America,"$481,058.00",17.72%,"37,398,468",$721.45,0.63%
VUG,Vanguard Morningstar Growth ETF,Equity,North America,"$231,087.00",9.29%,"6,527,021",$88.75,0.36%
VTV,Vanguard Morningstar Value ETF,Equity,North America,"$191,478.00",17.06%,"2,717,142",$221.25,-0.24%
SPYM,State Street SPDR Portfolio S&P 500 ETF,Equity,North America,"$171,914.00",12.63%,"11,639,747",$89.64,0.10%
BND,Vanguard Total Bond Market ETF,Bond,North America,"$163,126.00",-1.27%,"8,168,435",$71.20,-0.38%
VGT,Vanguard Information Technology ETF,Equity,North America,"$149,100.00",29.98%,"4,000,423",$122.31,0.68%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,North America,"$137,816.00",-1.32%,"8,538,175",$95.96,-0.38%
IWF,iShares Russell 1000 Growth ETF,Equity,North America,"$124,981.00",4.37%,"4,359,672",$123.25,0.59%
IJH,iShares Core S&P Mid-Cap ETF,Equity,North America,"$124,031.00",11.45%,"6,140,354",$72.98,-0.31%
XLK,State Street Technology Select Sector SPDR ETF,Equity,North America,"$122,132.00",32.01%,"8,339,359",$189.60,0.82%
SCHD,Schwab US Dividend Equity ETF,Equity,North America,"$113,491.00",24.79%,"22,195,952",$33.68,-0.62%
SGOV,iShares 0-3 Month Treasury Bond ETF,Bond,North America,"$110,832.00",2.61%,"20,260,566",$100.59,0.03%
VIG,Vanguard Dividend Appreciation ETF,Equity,North America,"$110,776.00",8.72%,"1,037,228",$237.00,-0.05%
VO,Vanguard Morningstar Mid-Cap ETF,Equity,North America,"$108,195.00",10.71%,"2,810,116",$80.00,-0.19%
IJR,iShares Core S&P Small-Cap ETF,Equity,North America,"$107,131.00",16.53%,"3,252,770",$138.90,-0.43%
QQQM,Invesco NASDAQ 100 ETF,Equity,North America,"$105,000.00",17.69%,"3,057,609",$296.91,0.58%
RSP,Invesco S&P 500® Equal Weight ETF,Equity,North America,"$97,970.20",11.73%,"7,692,914",$212.29,-0.48%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,North America,"$95,970.00",12.72%,"1,575,347",$166.34,0.08%
IWD,iShares Russell 1000 Value ETF,Equity,North America,"$82,460.90",20.94%,"1,995,080",$251.70,-0.44%
VYM,Vanguard High Dividend Yield Index ETF,Equity,North America,"$81,506.10",12.93%,"1,229,930",$159.26,-0.83%
VB,Vanguard Morningstar Small-Cap ETF,Equity,North America,"$78,972.70",13.03%,"490,712",$289.61,-0.45%
